season,team,number,player,year,position,gp,gs,goals,assists,points,year_num,year_std,position_zone,position_group
2023-24,thompson rivers,26,liam freathy,Fr,D,1,0.0,0,0,0,1,1st,D,DEF
2023-24,thompson rivers,23,soren kaczor,Fr,M,1,0.0,0,0,0,1,1st,M,MID
2023-24,thompson rivers,13,steffen masaites,Sr,D,1,0.0,0,0,0,4,4th,D,DEF
2024-25,ubc,11,brennen fuerst,So,M,15,13.0,0,3,3,2,2nd,M,MID
2024-25,ubc,35,henri godbout,Fr,F,15,14.0,7,5,12,1,1st,F,FOR
2024-25,ubc,8,chris lee,Jr,D,15,15.0,4,3,7,3,3rd,D,DEF
2024-25,ubc,12,joven mann,Fr,M,15,11.0,2,1,3,1,1st,M,MID
2024-25,ubc,1,bennett mckay,Sr,GK,15,15.0,0,0,0,4,4th,GK,GK
2024-25,ubc,13,eric lajeunesse,Jr,D,14,14.0,0,0,0,3,3rd,D,DEF
2024-25,ubc,19,jost hausendorf,Sr,F,13,4.0,2,1,3,4,4th,F,FOR
2024-25,ubc,14,oliver herbert,So,M,13,7.0,2,2,4,2,2nd,M,MID
2024-25,ubc,6,noah hrdlicka,Sr,D,13,12.0,0,1,1,4,4th,D,DEF
2024-25,ubc,28,markus kaiser,Sr,M,13,10.0,0,1,1,4,4th,M,MID
2024-25,ubc,24,luke norman,So,M,13,9.0,6,2,8,2,2nd,M,MID
2024-25,ubc,7,thomas pena,So,F,13,5.0,1,0,1,2,2nd,F,FOR
2024-25,ubc,10,connor mrazek,Sr,M,11,4.0,1,1,2,4,4th,M,MID
2024-25,ubc,4,marcus puhalj,Sr,D,11,11.0,0,1,1,4,4th,D,DEF
2024-25,ubc,26,asvin chauhan,Jr,F,10,6.0,0,1,1,3,3rd,F,FOR
2024-25,ubc,9,max comsia,Fr,F,10,7.0,3,0,3,1,1st,F,FOR
2024-25,ubc,2,lucas dasovic,Fr,D,7,7.0,0,0,0,1,1st,D,DEF
2024-25,ubc,3,joshua toma,So,D,6,1.0,0,0,0,2,2nd,D,DEF
2024-25,ubc,23,patrick braun,Fr,M,2,0.0,1,0,1,1,1st,M,MID
2024-25,ubc,16,eric kim,So,D,2,0.0,0,1,1,2,2nd,D,DEF
2024-25,ubc,5,jordano pinto,Sr,M,2,0.0,0,0,0,4,4th,M,MID
2024-25,ubc,18,stefan colbow,Sr,F,1,0.0,0,0,0,4,4th,F,FOR
2024-25,ubc,25,yuan yu-hsuan,Fr,M,1,0.0,0,0,0,1,1st,M,MID
2024-25,ufv,25,jackson cowx,,GK,16,16.0,0,0,0,0,UNK,GK,GK
2024-25,ufv,11,kevin mailand,,M,16,15.0,6,4,10,0,UNK,M,MID
2024-25,ufv,7,mateo brazinha,,F,15,15.0,8,9,17,0,UNK,F,FOR
2024-25,ufv,9,dante colebourne,,M,15,9.0,1,3,4,0,UNK,M,MID
2024-25,ufv,12,bhagvir sidhu,,D,15,13.0,2,1,3,0,UNK,D,DEF
2024-25,ufv,22,adam szymanski,,D,15,15.0,0,3,3,0,UNK,D,DEF
2024-25,ufv,2,michael beecroft,,D,14,7.0,1,1,2,0,UNK,D,DEF
2024-25,ufv,21,ebi igali,,D,14,5.0,1,0,1,0,UNK,D,DEF
2024-25,ufv,3,dulain panditha,,D,14,12.0,0,0,0,0,UNK,D,DEF
2024-25,ufv,17,riku suga,,F,14,8.0,1,1,2,0,UNK,F,FOR
2024-25,ufv,13,adriano consiglio,,M,13,13.0,1,0,1,0,UNK,M,MID
2024-25,ufv,10,harjoven sidhu,,M,13,9.0,1,0,1,0,UNK,M,MID
2024-25,ufv,8,anthony vega,,M,13,13.0,0,0,0,0,UNK,M,MID
2024-25,ufv,4,carson muter,,D,12,12.0,0,0,0,0,UNK,D,DEF
2024-25,ufv,5,william stuart,,M,12,1.0,0,1,1,0,UNK,M,MID
2024-25,ufv,6,gurnaj sidhu,,D,10,5.0,2,0,2,0,UNK,D,DEF
2024-25,ufv,18,joel bangura,,M,8,2.0,1,0,1,0,UNK,M,MID
2024-25,ufv,14,dylan lee,,M,6,3.0,0,0,0,0,UNK,M,MID
2024-25,ufv,19,roland mansell,,F,6,1.0,3,0,3,0,UNK,F,FOR
2024-25,ufv,24,nathan cervo,,F,4,0.0,1,0,1,0,UNK,F,FOR
2024-25,ufv,15,jorryn gill,,D,3,1.0,0,0,0,0,UNK,D,DEF
2024-25,ufv,16,jeevan dhaliwal,,F,2,0.0,0,0,0,0,UNK,F,FOR
2024-25,ufv,20,aidan fitzgerald,,D,2,0.0,0,0,0,0,UNK,D,DEF
2024-25,ufv,23,eh hser moo,,M,2,0.0,0,0,0,0,UNK,M,MID
2024-25,ufv,32,daniel aniogbe,,D,1,1.0,0,0,0,0,UNK,D,DEF
2024-25,ufv,31,dominik hajdecki,,F,1,0.0,0,0,0,0,UNK,F,FOR
2024-25,ufv,29,aidan thompson,,D,1,0.0,0,0,0,0,UNK,D,DEF
2024-25,calgary,19,dominic anamali,Jr,F,14,6.0,2,0,2,3,3rd,F,FOR
2024-25,calgary,9,kimia kassanda,Fr,F,14,11.0,1,1,2,1,1st,F,FOR
2024-25,calgary,10,gianmarco plenzik,Sr,M,14,14.0,7,5,12,4,4th,M,MID
2024-25,calgary,1,hany shafie,Fr,GK,14,14.0,0,1,1,1,1st,GK,GK
2024-25,calgary,14,james greco-taylor,Sr,M,13,13.0,0,5,5,4,4th,M,MID
2024-25,calgary,22,jacob hunter,Sr,D,13,13.0,4,1,5,4,4th,D,DEF
2024-25,calgary,12,efe udolu-joshua,Fr,F,13,11.0,2,0,2,1,1st,F,FOR
2024-25,calgary,6,soliman aria,Sr,M,12,12.0,2,1,3,4,4th,M,MID
2024-25,calgary,5,joey plenzik,Jr,D,12,12.0,2,0,2,3,3rd,D,DEF
2024-25,calgary,3,milan ponjevic,Jr,D,12,12.0,1,0,1,3,3rd,D,DEF
2024-25,calgary,23,owen antoniuk,Jr,M,11,11.0,8,5,13,3,3rd,M,MID
2024-25,calgary,7,aidan izadi,Sr,F,11,3.0,0,2,2,4,4th,F,FOR
2024-25,calgary,24,spencer mccallum,Fr,M,11,0.0,2,2,4,1,1st,M,MID
2024-25,calgary,26,william omoreniye,Jr,D,11,7.0,1,0,1,3,3rd,D,DEF
2024-25,calgary,16,edomias nesibu,So,M,10,0.0,0,0,0,2,2nd,M,MID
2024-25,calgary,21,felipe raed di bari,Jr,D,10,6.0,0,0,0,3,3rd,D,DEF
2024-25,calgary,2,doohyeon kim,Sr,D,8,1.0,0,0,0,4,4th,D,DEF
2024-25,calgary,25,arash mahjor,Jr,D,5,4.0,0,0,0,3,3rd,D,DEF
2024-25,calgary,18,josral frederick,So,F,3,0.0,1,1,2,2,2nd,F,FOR
2024-25,calgary,8,nahum tsegai,Sr,D,3,3.0,0,0,0,4,4th,D,DEF
2024-25,calgary,4,james welsh,So,D,3,1.0,0,0,0,2,2nd,D,DEF
2024-25,calgary,11,isaiah zarate,Fr,M,2,0.0,0,0,0,1,1st,M,MID
2024-25,calgary,27,oliver allen,So,GK,1,0.0,0,0,0,2,2nd,GK,GK
2024-25,calgary,20,nicholas carr,Sr,D,1,0.0,0,0,0,4,4th,D,DEF
2024-25,victoria,11,mattheus achadinha,,D,15,15.0,2,3,5,0,UNK,D,DEF
2024-25,victoria,14,ole cameron,,M,15,15.0,2,1,3,0,UNK,M,MID
2024-25,victoria,18,alex moody,,D,15,15.0,2,1,3,0,UNK,D,DEF
2024-25,victoria,7,yassin guitouni,,M,14,8.0,0,1,1,0,UNK,M,MID
2024-25,victoria,19,harry ritter west,,F,14,14.0,1,1,2,0,UNK,F,FOR
2024-25,victoria,4,javier sagaste,,M,14,14.0,2,1,3,0,UNK,M,MID
2024-25,victoria,5,archie tugwell,,D,14,14.0,1,0,1,0,UNK,D,DEF
2024-25,victoria,2,fin tugwell,,D,14,14.0,1,1,2,0,UNK,D,DEF
2024-25,victoria,1,callum weir,,GK,14,14.0,0,0,0,0,UNK,GK,GK
2024-25,victoria,20,evan larson,,F,13,7.0,1,1,2,0,UNK,F,FOR
2024-25,victoria,17,matthew pearse,,M,13,13.0,6,3,9,0,UNK,M,MID
2024-25,victoria,16,matteo hilton,,M,11,3.0,1,0,1,0,UNK,M,MID
2024-25,victoria,8,connor legge,,M,11,11.0,0,1,1,0,UNK,M,MID
2024-25,victoria,3,manchand virk,,D,11,1.0,1,0,1,0,UNK,D,DEF
2024-25,victoria,10,jack napier-ganley,,M,10,1.0,1,2,3,0,UNK,M,MID
2024-25,victoria,15,aiden grew,,D,7,1.0,0,0,0,0,UNK,D,DEF
2024-25,victoria,24,takin keshavarz,,M,7,0.0,1,0,1,0,UNK,M,MID
2024-25,victoria,12,tristan cornwell,,D,6,2.0,0,0,0,0,UNK,D,DEF
2024-25,victoria,22,jag zaharia,,D,6,0.0,1,0,1,0,UNK,D,DEF
2024-25,victoria,9,cole michel,,F,5,2.0,1,1,2,0,UNK,F,FOR
2024-25,victoria,29,matthew mcconnach,,GK,1,1.0,0,0,0,0,UNK,GK,GK
2024-25,victoria,6,armaan nijjar,,D,1,0.0,0,0,0,0,UNK,D,DEF
2024-25,unbc,20,james jordan,So,M,16,16.0,1,0,1,2,2nd,M,MID
2024-25,unbc,13,isaac tate,So,M,16,16.0,2,4,6,2,2nd,M,MID
2024-25,unbc,6,luke graham,Fr,D,15,15.0,2,0,2,1,1st,D,DEF
2024-25,unbc,8,hagon kim,So,D,15,15.0,1,4,5,2,2nd,D,DEF
2024-25,unbc,21,koss nystedt,So,D,15,14.0,0,0,0,2,2nd,D,DEF
2024-25,unbc,16,trevor scott,So,M,15,14.0,0,0,0,2,2nd,M,MID
2024-25,unbc,17,connor lewis,Sr,M,14,14.0,4,0,4,4,4th,M,MID
2024-25,unbc,27,logan pierce,So,GK,14,14.0,0,0,0,2,2nd,GK,GK
2024-25,unbc,22,colin stauffer,So,M,14,13.0,0,0,0,2,2nd,M,MID
2024-25,unbc,14,charlie stewart,Jr,M,14,7.0,0,0,0,3,3rd,M,MID
2024-25,unbc,10,mehdi bounaaja,Fr,M,13,8.0,1,1,2,1,1st,M,MID
2024-25,unbc,9,cole gunhold,Fr,S,13,3.0,0,1,1,1,1st,S,UNK
2024-25,unbc,2,pipeijn van der ende,Fr,D,13,13.0,0,0,0,1,1st,D,DEF
2024-25,unbc,3,adam korduner,So,D,11,6.0,1,0,1,2,2nd,D,DEF
2024-25,unbc,15,anton zadonsky,So,M,10,1.0,1,0,1,2,2nd,M,MID
2024-25,unbc,5,matteo cuzzetto,Fr,D,8,2.0,0,0,0,1,1st,D,DEF
2024-25,unbc,12,jacob wedel,Fr,D,8,3.0,0,0,0,1,1st,D,DEF
2024-25,unbc,4,matt botelho,Fr,D,5,0.0,0,0,0,1,1st,D,DEF
2024-25,unbc,1,yanni ntapas,Jr,GK,4,2.0,0,0,0,3,3rd,GK,GK
2024-25,unbc,19,demian dron,Sr,D,1,0.0,0,0,0,4,4th,D,DEF
2024-25,alberta,11,habib assem,3rd,F,14,7.0,3,3,6,3,3rd,F,FOR
2024-25,alberta,14,rodane cato,4th,M,14,14.0,3,1,4,4,4th,M,MID
2024-25,alberta,10,rilind idrizi,5th,M,14,14.0,5,4,9,5,5th,M,MID
2024-25,alberta,16,prince amanda,3rd,F,13,8.0,2,3,5,3,3rd,F,FOR
2024-25,alberta,6,jake bosch,5th,M,13,13.0,0,5,5,5,5th,M,MID
2024-25,alberta,17,frankroy cain,2nd,F,13,1.0,4,1,5,2,2nd,F,FOR
2024-25,alberta,23,david chung,5th,M,13,13.0,2,1,3,5,5th,M,MID
2024-25,alberta,1,liam collens,5th,GK,13,13.0,0,0,0,5,5th,GK,GK
2024-25,alberta,4,patrick kondraciuk,2nd,D,13,12.0,1,1,2,2,2nd,D,DEF
2024-25,alberta,3,joel martins-correia,3rd,D,13,13.0,1,0,1,3,3rd,D,DEF
2024-25,alberta,12,caden ruby,1st,F,13,5.0,4,1,5,1,1st,F,FOR
2024-25,alberta,9,marcus velado-tsegaye,3rd,F,13,9.0,5,2,7,3,3rd,F,FOR
2024-25,alberta,2,dylan marple,2nd,D,12,6.0,0,0,0,2,2nd,D,DEF
2024-25,alberta,8,thomas hope,3rd,D,11,11.0,0,1,1,3,3rd,D,DEF
2024-25,alberta,5,jackson belbin,2nd,D,9,5.0,0,1,1,2,2nd,D,DEF
2024-25,alberta,19,eric normandeau,1st,D,9,9.0,0,5,5,1,1st,D,DEF
2024-25,alberta,13,jivan aulakh,2nd,M,5,0.0,0,0,0,2,2nd,M,MID
2024-25,alberta,18,banshjot gill,1st,D,4,0.0,0,0,0,1,1st,D,DEF
2024-25,alberta,20,kyler kaluzniak,2nd,D,3,0.0,0,0,0,2,2nd,D,DEF
2024-25,alberta,22,tyler griffith,4th,GK,1,1.0,0,0,0,4,4th,GK,GK
2024-25,lethbridge,22,jeremy dalla costa,,D,14,13.0,1,0,1,0,UNK,D,DEF
2024-25,lethbridge,3,kyle boell,,D,13,12.0,1,0,1,0,UNK,D,DEF
2024-25,lethbridge,6,thomas denness,,D,13,4.0,0,0,0,0,UNK,D,DEF
2024-25,lethbridge,2,damon field,,D,13,13.0,0,0,0,0,UNK,D,DEF
2024-25,lethbridge,11,ben gingras,,M,13,9.0,0,0,0,0,UNK,M,MID
2024-25,lethbridge,8,will hughes,,D,13,13.0,0,3,3,0,UNK,D,DEF
2024-25,lethbridge,9,simon rolfson,,F,13,8.0,3,0,3,0,UNK,F,FOR
2024-25,lethbridge,14,cole rosenlund,,M,13,13.0,0,1,1,0,UNK,M,MID
2024-25,lethbridge,20,kai sakaguchi,,F,13,12.0,2,0,2,0,UNK,F,FOR
2024-25,lethbridge,18,karim bey,,M,12,12.0,1,2,3,0,UNK,M,MID
2024-25,lethbridge,19,nicholas bilodeau,,D,12,12.0,0,0,0,0,UNK,D,DEF
2024-25,lethbridge,24,brady indzeoski,,D,12,2.0,0,0,0,0,UNK,D,DEF
2024-25,lethbridge,30,armaan thawer,,GK,12,12.0,0,0,0,0,UNK,GK,GK
2024-25,lethbridge,27,alex loturi,,M,11,4.0,0,0,0,0,UNK,M,MID
2024-25,lethbridge,25,carson moore,,F,11,5.0,0,0,0,0,UNK,F,FOR
2024-25,lethbridge,15,noah bilodeau,,F,8,2.0,1,0,1,0,UNK,F,FOR
2024-25,lethbridge,13,andrew primeau,,D,8,1.0,0,0,0,0,UNK,D,DEF
2024-25,lethbridge,12,ziad el hasumi,,D,7,1.0,0,0,0,0,UNK,D,DEF
2024-25,lethbridge,5,holden lehr,,F,7,0.0,1,0,1,0,UNK,F,FOR
2024-25,lethbridge,28,brandon francis,,F,5,1.0,0,0,0,0,UNK,F,FOR
2024-25,lethbridge,17,sam popowich,,F,3,2.0,0,0,0,0,UNK,F,FOR
2024-25,lethbridge,33,tegan romaine,,GK,3,2.0,0,0,0,0,UNK,GK,GK
2024-25,lethbridge,21,cadel goertzen,,F,1,0.0,0,0,0,0,UNK,F,FOR
2024-25,lethbridge,23,soren hendricks,,D,1,0.0,0,0,0,0,UNK,D,DEF
2024-25,lethbridge,16,nathaniel riemer,,D,1,0.0,0,0,0,0,UNK,D,DEF
2024-25,lethbridge,7,adam turner,,D,1,0.0,0,0,0,0,UNK,D,DEF
2024-25,trinity western,5,adam hajdecki,,DEF,15,15.0,1,0,1,0,UNK,DEF,DEF
2024-25,trinity western,20,jordan low,,MID,15,14.0,5,2,7,0,UNK,MID,DEF
2024-25,trinity western,8,xander roxburgh,,MID,15,6.0,3,1,4,0,UNK,MID,DEF
2024-25,trinity western,19,mario banovic,,DEF,14,14.0,0,0,0,0,UNK,DEF,DEF
2024-25,trinity western,11,charles nana,,FOR,14,11.0,7,6,13,0,UNK,FOR,FOR
2024-25,trinity western,10,thomas powell,,MID,14,14.0,0,4,4,0,UNK,MID,DEF
2024-25,trinity western,9,emmanuel dan-adokiene,,FOR,13,7.0,2,0,2,0,UNK,FOR,FOR
2024-25,trinity western,27,kieran eve,,MID,13,9.0,0,1,1,0,UNK,MID,DEF
2024-25,trinity western,26,malcolm kengni,,MID,13,7.0,1,1,2,0,UNK,MID,DEF
2024-25,trinity western,17,christian rossi,,FOR,13,9.0,1,0,1,0,UNK,FOR,FOR
2024-25,trinity western,24,grant verhoeven,,MID,13,10.0,0,0,0,0,UNK,MID,DEF
2024-25,trinity western,1,alexander cordeiro,,GK,11,11.0,0,0,0,0,UNK,GK,GK
2024-25,trinity western,22,francis powell,,MID,11,11.0,1,2,3,0,UNK,MID,DEF
2024-25,trinity western,6,joey seo,,MID,11,9.0,1,1,2,0,UNK,MID,DEF
2024-25,trinity western,16,kosta adzic,,DEF,8,6.0,0,2,2,0,UNK,DEF,DEF
2024-25,trinity western,21,luca alberti,,DEF,8,1.0,0,0,0,0,UNK,DEF,DEF
2024-25,trinity western,4,jonny grant,,DEF,8,2.0,0,0,0,0,UNK,DEF,DEF
2024-25,trinity western,36,david saavedra,,FOR,6,1.0,0,0,0,0,UNK,FOR,FOR
2024-25,trinity western,29,austin petri,,GK,5,4.0,0,0,0,0,UNK,GK,GK
2024-25,trinity western,12,zachary stead,,FOR,5,1.0,1,0,1,0,UNK,FOR,FOR
2024-25,trinity western,14,marcel bona,,MID,3,1.0,0,0,0,0,UNK,MID,DEF
2024-25,trinity western,3,mikey dale,,DEF,2,1.0,0,0,0,0,UNK,DEF,DEF
2024-25,trinity western,18,jace wiebe,,FOR,2,1.0,0,0,0,0,UNK,FOR,FOR
2024-25,trinity western,15,aiden evans,,DEF,1,0.0,0,0,0,0,UNK,DEF,DEF
2024-25,trinity western,32,josh reinhard,,DEF,1,0.0,0,0,0,0,UNK,DEF,DEF
2024-25,saskatchewan,10,ethan cabral,,MF,14,14.0,4,0,4,0,UNK,MF,MID
2024-25,saskatchewan,8,matthew hnatiw,,MF,14,11.0,0,0,0,0,UNK,MF,MID
2024-25,saskatchewan,2,robert mackay,,MF,14,14.0,1,0,1,0,UNK,MF,MID
2024-25,saskatchewan,6,malcolm rektor,,MF,14,14.0,1,1,2,0,UNK,MF,MID
2024-25,saskatchewan,11,ilyich gharahmadani,,W,13,5.0,0,0,0,0,UNK,W,FOR
2024-25,saskatchewan,12,luke mackie,,MF,13,13.0,1,0,1,0,UNK,MF,MID
2024-25,saskatchewan,23,ryan ko,,FB,12,8.0,0,0,0,0,UNK,FB,DEF
2024-25,saskatchewan,14,rajesh rodney,,ST,12,7.0,0,0,0,0,UNK,ST,FOR
2024-25,saskatchewan,9,robert woodroffe-brown,,ST,12,9.0,1,1,2,0,UNK,ST,FOR
2024-25,saskatchewan,24,daler tokhirov,,MF,11,7.0,1,2,3,0,UNK,MF,MID
2024-25,saskatchewan,25,misgana killoh,,MF,10,3.0,0,1,1,0,UNK,MF,MID
2024-25,saskatchewan,5,holden mcleay,,DF,10,6.0,0,0,0,0,UNK,DF,DEF
2024-25,saskatchewan,7,mason ogoke,,MF,10,10.0,0,0,0,0,UNK,MF,MID
2024-25,saskatchewan,1,jaron slopinski,,GK,10,10.0,0,0,0,0,UNK,GK,GK
2024-25,saskatchewan,16,alessandro calado,,MF,8,5.0,0,0,0,0,UNK,MF,MID
2024-25,saskatchewan,18,aydin wiebe,,FB,8,8.0,0,0,0,0,UNK,FB,DEF
2024-25,saskatchewan,17,sergio molina,,FB,7,5.0,0,0,0,0,UNK,FB,DEF
2024-25,saskatchewan,4,makariy pryadko,,FB,5,0.0,0,0,0,0,UNK,FB,DEF
2024-25,saskatchewan,32,george arnold,,GK,4,2.0,0,0,0,0,UNK,GK,GK
2024-25,saskatchewan,15,ty lee,,MF,4,1.0,0,0,0,0,UNK,MF,MID
2024-25,saskatchewan,13,gabriele altomare,,MF,2,0.0,0,0,0,0,UNK,MF,MID
2024-25,saskatchewan,22,emmett mcgillvray,,GK,2,2.0,0,0,0,0,UNK,GK,GK
2024-25,saskatchewan,20,kiran baker,,ST,1,0.0,0,0,0,0,UNK,ST,FOR
2024-25,saskatchewan,3,julian calderon,,FB,1,0.0,0,0,0,0,UNK,FB,DEF
2024-25,macewan,14,kayden dugas,,F,14,13.0,0,4,4,0,UNK,F,FOR
2024-25,macewan,4,lucio rivera,,D,14,14.0,0,0,0,0,UNK,D,DEF
2024-25,macewan,8,ali yildiz,,M,14,14.0,3,1,4,0,UNK,M,MID
2024-25,macewan,17,felix guite,,M,13,4.0,1,0,1,0,UNK,M,MID
2024-25,macewan,11,nicolas luczkiewicz,,M,12,11.0,0,0,0,0,UNK,M,MID
2024-25,macewan,5,jakob sievert,,M,12,12.0,0,0,0,0,UNK,M,MID
2024-25,macewan,23,samuel vieira,,F,12,10.0,0,0,0,0,UNK,F,FOR
2024-25,macewan,7,rakan yassin,,F,12,12.0,5,3,8,0,UNK,F,FOR
2024-25,macewan,3,jamal ajab,,M,10,9.0,0,1,1,0,UNK,M,MID
2024-25,macewan,22,oleksandr popravka,,GK,10,10.0,0,0,0,0,UNK,GK,GK
2024-25,macewan,15,abhiroop sandhu,,M,10,1.0,1,0,1,0,UNK,M,MID
2024-25,macewan,34,philip wutzl,,D,10,10.0,0,0,0,0,UNK,D,DEF
2024-25,macewan,28,chance carter,,M,8,7.0,3,2,5,0,UNK,M,MID
2024-25,macewan,13,logan klapstein,,M,8,7.0,1,0,1,0,UNK,M,MID
2024-25,macewan,20,stewart jamieson,,D,5,3.0,0,0,0,0,UNK,D,DEF
2024-25,macewan,16,zewdu mekonnen,,F,5,2.0,0,0,0,0,UNK,F,FOR
2024-25,macewan,26,alain sitchet,,F,5,2.0,0,0,0,0,UNK,F,FOR
2024-25,macewan,27,liam van laar,,D,5,1.0,0,0,0,0,UNK,D,DEF
2024-25,macewan,6,abass ajibade,,M,4,4.0,0,0,0,0,UNK,M,MID
2024-25,macewan,19,t-boy fayia,,D,3,3.0,0,0,0,0,UNK,D,DEF
2024-25,macewan,18,miles frett-baptiste,,F,3,0.0,0,0,0,0,UNK,F,FOR
2024-25,macewan,35,kaleb lutz,,GK,3,2.0,0,0,0,0,UNK,GK,GK
2024-25,macewan,30,david sithole,,GK,2,2.0,0,0,0,0,UNK,GK,GK
2024-25,thompson rivers,19,marcus d'andrea,,M,16,16.0,0,0,0,0,UNK,M,MID
2024-25,thompson rivers,10,minwoo kang,,M,16,13.0,1,0,1,0,UNK,M,MID
2024-25,thompson rivers,11,ryan olak,,M,15,8.0,2,0,2,0,UNK,M,MID
2024-25,thompson rivers,5,elijah dos santos,,D,14,14.0,1,1,2,0,UNK,D,DEF
2024-25,thompson rivers,21,mel nelissen,,M,14,5.0,0,0,0,0,UNK,M,MID
2024-25,thompson rivers,12,jonathan rinaldi,,M,14,14.0,2,1,3,0,UNK,M,MID
2024-25,thompson rivers,8,mikkel rosenlund,,D,14,14.0,0,0,0,0,UNK,D,DEF
2024-25,thompson rivers,18,ranjeet brar,,M,13,12.0,0,2,2,0,UNK,M,MID
2024-25,thompson rivers,27,abdel coulibaly,,D,13,11.0,3,2,5,0,UNK,D,DEF
2024-25,thompson rivers,6,zach hamedi,,M,13,9.0,0,0,0,0,UNK,M,MID
2024-25,thompson rivers,23,soren kaczor,,M,11,5.0,0,1,1,0,UNK,M,MID
2024-25,thompson rivers,25,lucas kirnon,,D,11,11.0,0,1,1,0,UNK,D,DEF
2024-25,thompson rivers,22,tommy moon,,M,11,2.0,0,0,0,0,UNK,M,MID
2024-25,thompson rivers,1,luca ortu,,GK,11,10.0,0,0,0,0,UNK,GK,GK
2024-25,thompson rivers,2,domenico comita,,M,10,10.0,0,1,1,0,UNK,M,MID
2024-25,thompson rivers,16,kaleem remekie,,F,10,3.0,0,0,0,0,UNK,F,FOR
2024-25,thompson rivers,3,liam freathy,,D,9,4.0,0,1,1,0,UNK,D,DEF
2024-25,thompson rivers,26,aren christianson,,D,8,4.0,0,0,0,0,UNK,D,DEF
2024-25,thompson rivers,30,olivier jumeau,,GK,6,6.0,0,0,0,0,UNK,GK,GK
2024-25,thompson rivers,14,alvin crofoot,,D,5,0.0,0,0,0,0,UNK,D,DEF
2024-25,thompson rivers,9,lachlan will,,F,5,5.0,2,0,2,0,UNK,F,FOR
2024-25,thompson rivers,15,lucas rinaldi,,M,1,0.0,0,0,0,0,UNK,M,MID
2025-26,ubc,9,max comsia,So,F,14,11.0,5,4,9,2,2nd,F,FOR
2025-26,ubc,7,henri godbout,So,F,14,10.0,5,3,8,2,2nd,F,FOR
2025-26,ubc,14,oliver herbert,Jr,M,14,2.0,3,1,4,3,3rd,M,MID
2025-26,ubc,28,markus kaiser,Sr,M,14,13.0,0,4,4,4,4th,M,MID
2025-26,ubc,13,eric lajeunesse,Sr,D,14,14.0,2,0,2,4,4th,D,DEF
2025-26,ubc,21,nicolas nadeau,Fr,M,14,14.0,2,1,3,1,1st,M,MID
2025-26,ubc,24,luke norman,Jr,M,14,13.0,3,6,9,3,3rd,M,MID
2025-26,ubc,4,marcus puhalj,Sr,D,14,14.0,0,0,0,4,4th,D,DEF
2025-26,ubc,11,brennen fuerst,Jr,M,13,13.0,1,0,1,3,3rd,M,MID
2025-26,ubc,27,markus rukavina,So,F,13,4.0,4,2,6,2,2nd,F,FOR
2025-26,ubc,8,theo afework,Fr,F,12,10.0,4,3,7,1,1st,F,FOR
2025-26,ubc,12,joven mann,So,M,12,12.0,4,0,4,2,2nd,M,MID
2025-26,ubc,1,jack garner,Jr,GK,10,10.0,0,0,0,3,3rd,GK,GK
2025-26,ubc,6,yuan yu-hsuan,So,M,9,8.0,0,1,1,2,2nd,M,MID
2025-26,ubc,2,cameron hajdu,Fr,D,8,2.0,0,0,0,1,1st,D,DEF
2025-26,ubc,3,joshua tome,Jr,D,8,0.0,0,0,0,3,3rd,D,DEF
2025-26,ubc,17,asvin chauhan,Sr,F,7,0.0,1,1,2,4,4th,F,FOR
2025-26,ubc,18,joshua njongwe,So,D,4,0.0,0,0,0,2,2nd,D,DEF
